LA,LP,LL,LW,RLW,LMF,LS,LA_Boxcox,LP_Boxcox,LL_Boxcox,LW_Boxcox,RLW_Boxcox,LMF_Boxcox
251.03,76.69,32.56,12.68,2.57,0.170729332,1,3.297557971,4.676037486,2.820463758,2.423652635,1.03137726,-1.361665523
576.81,112.44,41.17,20.52,2.01,0.182495054,1,3.5421882,5.122373234,2.969662464,2.857701705,0.74524691,-1.322690576
329.8,115.72,27.23,24.13,1.13,0.098513056,3,3.382476253,5.156147676,2.703794951,3.00208444,0.123610453,-1.654355834
560.72,155.35,44.9,34.08,1.32,0.092935903,3,3.534540138,5.503985269,3.023708128,3.306798379,0.284888707,-1.68255775
298.1,104.78,30.95,24.73,1.25,0.108608841,3,3.351587629,5.039636114,2.787633564,3.023891202,0.227815677,-1.605990683
509.48,151.57,35.64,33.91,1.05,0.088707559,3,3.508299754,5.474757982,2.878460998,3.302412726,0.049011127,-1.704728534
145.07,94.9,24.44,20.24,1.21,0.064432529,3,3.111782684,4.923833771,2.631963049,2.84542077,0.194022933,-1.848632046
865.15,185.5,47.33,39.55,1.2,0.100568871,3,3.647016429,5.715164645,3.056266114,3.43697109,0.185432709,-1.644238636
145.05,53.65,22.45,10.11,2.22,0.201575744,1,3.111733282,4.264487164,2.574837238,2.216713368,0.859372707,-1.263019726
242.84,69.21,28.45,13.92,2.04,0.202788124,1,3.286907564,4.557314201,2.732642425,2.508389431,0.76212866,-1.259362479
165.61,77.27,24.43,16.37,1.49,0.11094934,3,3.158586775,4.684770081,2.631689241,2.654933994,0.41386147,-1.595225565
846.03,201.83,50.3,35.89,1.4,0.083075758,3,3.641462924,5.816063,3.09359365,3.352133472,0.34717035,-1.735421901
249.42,70.47,29.85,11.52,2.59,0.200901289,3,3.295497703,4.578155871,2.76407734,2.336210204,1.040615674,-1.265060858
545.74,144.29,36.41,32.32,1.13,0.104851177,3,3.527177875,5.416428533,2.892080614,3.260254342,0.123610453,-1.623614263
726.78,204.35,51.49,42.16,1.22,0.069616739,3,3.60302192,5.830926564,3.107859003,3.492635746,0.202555496,-1.815095846
127.74,46.42,17.75,9.93,1.79,0.237124611,1,3.065596556,4.099170028,2.413621209,2.200225519,0.614743423,-1.161523536
275.61,93.33,30.16,20.35,1.48,0.126564652,3,3.327163742,4.904366409,2.770813568,2.850266316,0.406616124,-1.52714273
225.09,103.53,33.31,19.64,1.7,0.084000866,3,3.262260295,5.025582526,2.835138884,2.818500224,0.557559819,-1.73028342
190.96,72.29,32.04,9.56,3.35,0.146165861,1,3.207522255,4.6076336,2.810063813,2.165337868,1.354900033,-1.449451973
256.23,82.84,23.85,20.12,1.19,0.149351568,3,3.304104923,4.765549817,2.615588805,2.84010347,0.17678395,-1.437517736
373.58,126.58,37.46,22.03,1.7,0.093263869,3,3.419698726,5.261723745,2.910139133,2.921070535,0.557559819,-1.680867455
314.75,100.75,28.86,25.25,1.14,0.124032535,3,3.368279817,4.993730392,2.742025616,3.042351029,0.13263001,-1.537772635
197.55,111.82,37.06,16.42,2.26,0.063197231,3,3.218968695,5.115882229,2.903327682,2.657682182,0.88010498,-1.85689632
396.64,142.85,37.98,30.28,1.25,0.077749215,3,3.437248,5.404554717,2.918872612,3.202897804,0.227815677,-1.765803958
264.78,107.76,34.06,19.64,1.73,0.091207385,3,3.314528645,5.072497179,2.849446665,2.818500224,0.576889497,-1.691535061
148.75,55.56,24.18,9.3,2.6,0.192749159,1,3.120735234,4.304561557,2.624802736,2.139973819,1.045213098,-1.290114836
394.79,116.5,31.36,27.14,1.16,0.116352116,3,3.435886025,5.164043223,2.796173482,3.106273757,0.150477397,-1.570961205
132.33,47.78,18.12,9.93,1.82,0.231860097,2,3.078534346,4.132084657,2.427971703,2.200225519,0.633283951,-1.17585904
155.66,84.45,26.74,16.67,1.6,0.087304717,3,3.136845302,4.78792235,2.691796492,2.671294189,0.491052739,-1.712245204
126.04,46.46,17.94,9.47,1.89,0.233566189,3,3.060661745,4.100151328,2.421032004,2.156639857,0.675595532,-1.171188875
350.49,108.33,31.47,25,1.26,0.119464298,3,3.400765923,5.078682534,2.798443307,3.033525828,0.236125958,-1.557335709
331.51,110.6,33.81,24.03,1.41,0.108404265,3,3.384039716,5.103007456,2.844717148,2.998395362,0.354750155,-1.606939218
864.81,190.41,45.24,41.39,1.09,0.095411602,3,3.646918971,5.746376097,3.028381376,3.476593861,0.086868649,-1.669898561
659.23,195.24,51.92,39.12,1.33,0.069176623,3,3.577697314,5.776329469,3.112922652,3.427435778,0.292839423,-1.817874538
873.31,183.47,44.47,43.22,1.03,0.103776329,3,3.649341649,5.702026711,3.017740466,3.514229154,0.029639807,-1.628735421
429.66,135,40.13,20.31,1.98,0.094301235,3,3.460341766,5.337720048,2.953605513,2.848507449,0.728158566,-1.675547883
159.73,69.63,24.79,13.58,1.83,0.131781271,3,3.145935725,4.564301864,2.641467668,2.48595934,0.639408785,-1.505697737
