,LA,LP,LL,LW,RLW,LMF,LS,LA_Boxcox,LP_Boxcox,LL_Boxcox,LW_Boxcox,RLW_Boxcox,LMF_Boxcox
84,498.73,105.1,44.65,18.03,2.48,0.180600959,1.0,3.5023894853261845,5.043207793516899,3.020246428073297,2.7418197867575893,0.6744685333902505,-1.3288453074418538
85,180.84,56.0,23.38,10.46,2.24,0.230663265,1.0,3.1889833984080167,4.313604596089704,2.6022151592486273,2.247918997737835,0.6181924263153403,-1.1791493675240587
86,251.03,76.69,32.56,12.68,2.57,0.170729332,1.0,3.2975579710441516,4.676037485726342,2.8204637582861483,2.423652634518915,0.6932602179822497,-1.361665523142872
87,576.81,112.44,41.17,20.52,2.01,0.182495054,1.0,3.542188200024539,5.122373234441593,2.9696624643692866,2.8577017045095765,0.5537751854209668,-1.3226905759718086
88,329.8,115.72,27.23,24.13,1.13,0.098513056,3.0,3.3824762530083636,5.156147676304555,2.703794950688311,3.0020844398088813,0.11719634739821516,-1.65435583444404
89,560.72,155.35,44.9,34.08,1.32,0.092935903,3.0,3.5345401375558168,5.503985268974609,3.023708127745284,3.306798379360541,0.25261187151335246,-1.682557750281945
90,298.1,104.78,30.95,24.73,1.25,0.108608841,3.0,3.3515876285687023,5.039636114492736,2.7876335635264975,3.023891201875753,0.20678240991806923,-1.6059906834940623
91,509.48,151.57,35.64,33.91,1.05,0.088707559,3.0,3.5082997538008995,5.474757982362241,2.878460998480602,3.3024127261014615,0.04797641808538017,-1.704728534121562
92,145.07,94.9,24.44,20.24,1.21,0.064432529,3.0,3.111782683540759,4.923833771044008,2.631963048914124,2.8454207703640146,0.17859323383788522,-1.8486320458118934
93,865.15,185.5,47.33,39.55,1.2,0.100568871,3.0,3.6470164286172926,5.7151646448439495,3.0562661143682863,3.43697108955666,0.17129824093083754,-1.6442386355763605
94,145.05,53.65,22.45,10.11,2.22,0.201575744,1.0,3.111733282358144,4.2644871642764635,2.5748372382852254,2.216713368110618,0.6130411273912114,-1.2630197264627858
95,242.84,69.21,28.45,13.92,2.04,0.202788124,1.0,3.2869075636001206,4.557314201306388,2.7326424253568193,2.5083894306333647,0.5628712735880506,-1.259362478928002
96,165.61,77.27,24.43,16.37,1.49,0.11094934,3.0,3.1585867747315137,4.684770080865382,2.631689240843131,2.6549339943299026,0.348525115220464,-1.5952255649062677
97,846.03,201.83,50.3,35.89,1.4,0.083075758,3.0,3.641462924037539,5.816063000019855,3.093593650485171,3.352133472055536,0.30020108991834354,-1.7354219008532483
98,249.42,70.47,29.85,11.52,2.59,0.200901289,3.0,3.2954977025258727,4.57815587082451,2.764077340054737,2.3362102036175476,0.6972857648942468,-1.265060858030685
99,545.74,144.29,36.41,32.32,1.13,0.104851177,3.0,3.5271778752023706,5.416428532812298,2.892080613760249,3.2602543422054793,0.11719634739821516,-1.6236142631472095
100,726.78,204.35,51.49,42.16,1.22,0.069616739,3.0,3.603021920004711,5.830926564331698,3.107859003263532,3.4926357456728887,0.1857869613984005,-1.8150958459177946
101,127.74,46.42,17.75,9.93,1.79,0.237124611,1.0,3.065596556071016,4.099170028038769,2.4136212092438227,2.200225519332914,0.4792938522315103,-1.1615235361760952
102,275.61,93.33,30.16,20.35,1.48,0.126564652,3.0,3.327163742433553,4.904366409171865,2.77081356828036,2.8502663155337706,0.3434018471681553,-1.527142730400982
